Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0026,Premises Liability,POL-GL-123321,2023-09-01,Ceiling collapse in retail store,Bodily Injury,OH,2024-06-05,Midwest Shopping Centers LLC,78000,15000,0,0,"06/05/2024 - CEILING COLLAPSE: 20x20 section fell during business hours. 3 customers injured. LIABILITY ASSESSMENT: Very High (90%) - Maintenance deferred despite known leak. | 06/06/2024 - CAUSE DETERMINED: Roof leak led to ceiling tile saturation over months. Maintenance reports show leak reported 3 months ago, repeatedly deferred. | 06/08/2024 - INJURIES: Lisa Park (42yo) - neck/back soft tissue (most serious), two others minor cuts and bruises. INJURY SEVERITY SCORES: Park 5/10, others 2/10. | 06/12/2024 - COVERAGE CLEAR: Premises liability applicable. No exclusions. $2M limit adequate. Prior ceiling issue last year settled $22K - pattern emerging. | 06/18/2024 - CLAIMS STATUS: All 3 represented by same firm - Morgan & Morgan. Efficient but aggressive. Package deal likely. | 06/25/2024 - MEDICAL: Combined medicals $62K. Park may need surgery if conservative treatment fails. Others resolved with first aid. | 07/05/2024 - GLOBAL SETTLEMENT: All 3 claims resolved for $78K total. Park $60K, others $9K each. Quick resolution avoided surgery decision. | 07/15/2024 - CLOSED: Roof repairs completed. Maintenance schedule upgraded to prevent recurrence. Quarterly roof inspections now mandatory.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0027,Fire Legal,POL-GL-456654,2024-04-01,Tenant's equipment overload caused electrical fire,Property Damage,WI,2024-07-20,DataTech Solutions Inc,145000,18000,0,0,"07/20/2024 - FIRE LOSS: Server room electrical overload caused fire. Spread to adjacent tenant suites. LIABILITY: Clear (100%) - Tenant exceeded electrical capacity without permit. | 07/21/2024 - INVESTIGATION: Fire marshal confirmed tenant added equipment exceeding circuit capacity by 50%. No electrical permit. Fire spread through common wall. | 07/23/2024 - DAMAGE ASSESSMENT: Landlord property damage $130K. Adjacent tenant (law firm) property damage $15K including client files. No injuries. | 07/28/2024 - COVERAGE CONFIRMED: Fire legal liability sublimit $500K and property damage to others both respond. Lease required permits - clear breach. | 08/05/2024 - LEASE REVIEW: Tenant responsible for code compliance and permits. Indemnification clause strong. However, collection risk if tenant goes under. | 08/15/2024 - QUICK RESOLUTION: Paid both claims promptly to preserve relationships. Landlord: $130K, Adjacent tenant: $15K. Total: $145K. | 08/25/2024 - CLOSED: Electrical upgrade required before reoccupancy. Tenant may face eviction. Subrogation rights preserved but waived to maintain peace.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0028,Auto-Related GL,POL-GL-789987,2023-11-01,Non-owned auto accident during business delivery,Bodily Injury,SC,2024-01-30,Speedy Courier Services,95000,22000,0,0,"01/30/2024 - SERIOUS MVA: Employee using personal vehicle for deliveries T-boned car at intersection. Red light violation. LIABILITY ASSESSMENT: High (85%) - Employee clearly at fault. | 01/31/2024 - INJURIES: Other driver Amanda White (34yo) - broken ribs, concussion. Passenger (mother, 67yo) - whiplash. INJURY SEVERITY SCORES: Driver 6/10, Passenger 3/10. | 02/05/2024 - COVERAGE ANALYSIS: Non-owned auto endorsement applies. Excess over employee's personal auto. Employee limits only $25K - grossly inadequate. We're primary above that. | 02/10/2024 - PERSONAL AUTO EXHAUSTED: Employee's $25K limits exhausted on emergency medical. Our coverage now primary for remaining exposure. | 02/20/2024 - MEDICAL BILLS: Combined $70K and growing. Driver missing work (nurse), significant wage loss. Mother requires ongoing PT. | 03/01/2024 - ATTORNEY: Claimants retained Joye Law Firm (billboard advertising firm). Aggressive but reasonable when clear liability. | 03/15/2024 - SETTLEMENT NEGOTIATIONS: Initial demand $200K. Settled at $95K given clear liability and inadequate underlying coverage. | 03/25/2024 - CLOSED: Implemented fleet insurance requirement for all delivery drivers. Can't rely on personal auto coverage anymore.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0029,Wrongful Eviction,POL-GL-234432,2024-01-01,Property manager wrongfully evicted commercial tenant,Personal Injury,AZ,2024-02-28,Desert Property Management Co,65000,28000,85000,22000,"02/28/2024 - WRONGFUL EVICTION: Commercial tenant locked out without proper notice or cause. Restaurant lost 3 days business. LIABILITY: Clear (100%) - Manager misread lease terms. | 03/01/2024 - INVESTIGATION: No payment default existed. Manager confused unit numbers, evicted wrong tenant. Egregious error with no excuse. | 03/05/2024 - DAMAGES: 3 days lost business ($8K/day), spoiled inventory ($15K), customer goodwill. Restaurant struggling to recover reputation. | 03/10/2024 - COVERAGE CONFIRMED: Personal injury definition includes wrongful eviction. $1M limit applies. Prior similar claim 2 years ago concerning. | 03/20/2024 - LITIGATION: Suit filed Maricopa County #CV2024-003456. Seeking lost profits, consequential damages. Business interruption claims can escalate. | 04/01/2024 - LIABILITY ADMISSION: Given egregious error, admitted liability immediately. Focus on damage mitigation and quick resolution. | 04/15/2024 - PARTIAL SETTLEMENT: Paid $65K for immediate losses (3 days business + inventory). Negotiating future lost profits claim. | ONGOING: Additional $85K reserved for future business losses. Working toward global resolution. Management company may lose contract.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0030,Neighboring Damage,POL-GL-567765,2023-06-01,Crane collapsed during construction damaging adjacent buildings,Property Damage,NY,2024-03-15,Manhattan Construction Corp,450000,125000,550000,75000,03/15/2024 - CATASTROPHIC COLLAPSE: Tower crane failure during wind storm. 3 buildings damaged. LIABILITY ASSESSMENT: High (75%) - Crane not properly secured despite weather warnings. | 03/16/2024 - INVESTIGATION: Crane operator ignored weather service warnings. Wind speeds exceeded safe operating limits. Securing procedure not followed. | 03/18/2024 - DAMAGE ASSESSMENT: Building A: $400K facade damage. Building B: $300K roof damage. Building C: $350K various damage. No injuries miraculously. | 03/25/2024 - COVERAGE ANALYSIS: CGL primary $1M per occurrence. Excess carrier notified immediately given $1M+ exposure. Good relationships crucial. | 04/01/2024 - MULTIPLE CLAIMS: 3 property owners represented by different firms. Various business interruption claims from tenants. Complex multi-party situation. | 04/10/2024 - OSHA CITATIONS: Willful violations cited. $75K in fines. Criminal investigation initiated by DA. Complicates civil defense significantly. | 04/20/2024 - LITIGATION: Consolidated case S.D.N.Y. #1:24-cv-02345. Federal court due to diversity. Expedited discovery ordered. | 05/01/2024 - PARTIAL PAYMENTS: Emergency repairs funded $450K to prevent further damage. Preserves evidence while helping claimants. | ONGOING: Complex litigation ahead. Total exposure $1M+. Excess carrier participating. Criminal case outcome will impact civil.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0031,Assault and Battery,POL-GL-890098,2024-02-01,Concert venue security injured patron during crowd control,Bodily Injury,TN,2024-04-25,Nashville Entertainment Venues,55000,15000,0,0,"04/25/2024 - CONCERT INCIDENT: Security threw patron to ground during ejection. Excessive force used. LIABILITY ASSESSMENT: High (80%) - Video shows patron non-combative when force initiated. | 04/26/2024 - INJURIES: Marcus Williams (28yo) - dislocated shoulder, head struck concrete, concussion symptoms. INJURY SEVERITY SCORE: 5/10. Recovery expected but painful. | 04/28/2024 - VIDEO EVIDENCE: Multiple cell phone videos (3 angles) show patron verbally argumentative only. Security escalated to physical without justification. Clear excessive force. | 05/05/2024 - COVERAGE CONFIRMED: Assault & battery sublimit $250K per occurrence. Security contractor is additional insured but indemnity agreement weak. | 05/15/2024 - MEDICAL UPDATE: $38K treatment costs. Ongoing PT for shoulder. Post-concussive symptoms resolving. Return to work as carpenter in 6 weeks. | 05/25/2024 - PRE-SUIT RESOLUTION: Attorney contacted but client wants quick resolution. Video evidence makes defense untenable. Settled at $55K to avoid litigation. | 06/05/2024 - CLOSED: Security contractor terminated. New company hired with de-escalation training emphasis. Alcohol service policies reviewed.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0032,Product Defect,POL-GL-123987,2023-12-01,Bicycle brake failure caused accident,Bodily Injury,CO,2024-05-30,Mountain Bike Retailers Inc,88000,19000,0,0,"05/30/2024 - BRAKE FAILURE: Mountain bike brakes failed on steep descent. Rider crashed at high speed. LIABILITY: Strict liability - brake cable defectively crimped at manufacture. | 05/31/2024 - PRODUCT INSPECTION: Expert confirmed brake cable crimp only 40% of required strength. Batch issue suspected - 200 units potentially affected. | 06/05/2024 - INJURIES: Tyler Chen (31yo) competitive cyclist - broken collarbone, extensive road rash, dental damage (3 teeth). INJURY SEVERITY SCORE: 6/10. Racing season lost. | 06/10/2024 - COVERAGE CONFIRMED: Products liability applies. Manufacturer (Taiwan) notice sent but limited recourse. Our coverage primary as US distributor. | 06/15/2024 - MEDICAL COSTS: $67K including dental reconstruction. Excellent health insurance reduced out-of-pocket. Future dental work may be needed. | 06/25/2024 - QUICK SETTLEMENT: Resolved for $88K. Factors: Clear defect, limited economic loss (good insurance), sympathetic plaintiff (local cycling hero). | 07/05/2024 - CLOSED: Entire brake batch recalled (200 units). Manufacturer accepted 50% indemnity via wire transfer. Net loss $44K.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0033,Water Damage,POL-GL-456789,2024-03-01,Plumbing work caused water damage to floors below,Property Damage,MA,2024-06-15,Boston Plumbing Professionals,125000,15000,0,0,"06/15/2024 - PIPE BURST: Improperly soldered joint failed 2 hours after plumber left. 3 floors of Class A office building flooded. LIABILITY: Clear (100%) - Defective workmanship. | 06/16/2024 - DAMAGE EXTENT: Law firm offices below sustained heavy damage. Computers destroyed, files damaged, library books ruined, furniture destroyed. High-value property damage. | 06/18/2024 - COVERAGE CONFIRMED: Property damage liability clear. No exclusions applicable. Completed operations coverage applies. $2M limit adequate. | 06/25/2024 - BUSINESS INTERRUPTION: Law firm claiming lost billable hours during 1-week displacement. 20 attorneys x $400/hour x 40 hours = significant BI claim. | 07/05/2024 - SETTLEMENT BREAKDOWN: Property damage $95K (computers, furniture, files). Business interruption $30K negotiated down from $80K demand. Total: $125K. | 07/15/2024 - CLOSED: Plumber's insurance and bonding reviewed. Implemented pressure testing requirement for all solder joints. Quick payment preserved business relationships.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0034,Discrimination,POL-GL-789456,2023-10-01,Restaurant refused service based on disability,Personal Injury,CA,2024-07-01,Bay Area Restaurant Group,45000,22000,0,0,"07/01/2024 - ADA VIOLATION: Restaurant refused entry to customer with service dog. Manager made discriminatory comments. LIABILITY: Clear (100%) - Direct violation of ADA. | 07/02/2024 - INVESTIGATION: Video and audio confirm manager said 'no dogs, I don't care what papers you have.' Customer showed valid service dog documentation. | 07/05/2024 - COVERAGE CONFIRMED: Personal injury definition includes discrimination. $1M limit. Punitive damages excluded but compensatory covered. | 07/10/2024 - DEMAND: ACLU attorney demanding $100K plus policy changes and public apology. Media attention threatened. Reputation risk high. | 07/20/2024 - NEGOTIATION: Settled for $45K plus mandatory ADA training for all staff. Public apology issued. Media coverage avoided. | 07/25/2024 - CLOSED: ADA compliance officer appointed. Service animal policy posted prominently. Disability awareness training completed company-wide.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0035,False Arrest,POL-GL-234567,2024-01-01,Store security falsely detained customer,Personal Injury,TX,2024-02-20,Big Box Retail Chain,38000,12000,0,0,"02/20/2024 - FALSE DETENTION: Customer held 2 hours on suspicion of shoplifting. Nothing found. LIABILITY ASSESSMENT: High (85%) - No reasonable suspicion, racial profiling suspected. | 02/21/2024 - INVESTIGATION: Security misidentified customer from prior incident involving different person. Detention based solely on race/appearance match. | 02/25/2024 - COVERAGE CONFIRMED: Personal injury for false arrest/detention covered. $2M limit. Prior similar claim last year concerning. | 03/05/2024 - EMOTIONAL DISTRESS: Customer James Robinson (45yo) has panic attack history. Detention triggered severe episode. Now in therapy, avoids stores. | 03/15/2024 - PRE-SUIT SETTLEMENT: Resolved for $38K including therapy costs. Quick resolution avoided discrimination lawsuit and media attention. | 03/25/2024 - CLOSED: Security facial recognition system discontinued. Human verification required for all stops. Bias training implemented.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0036,Tenant Injury,POL-GL-567890,2023-07-01,Apartment balcony railing failure,Bodily Injury,FL,2024-03-10,Sunshine Property Holdings,195000,45000,0,0,"03/10/2024 - BALCONY COLLAPSE: Railing gave way when tenant leaned against it. Fell 15 feet. LIABILITY ASSESSMENT: Very High (95%) - Railing posts severely corroded, no maintenance performed. | 03/11/2024 - INSPECTION FINDINGS: Engineering report confirms railing posts corroded through at base. Saltwater environment degradation ignored for years. Multiple units affected. | 03/15/2024 - INJURIES: Robert Chen (29yo) - multiple fractures (ribs, pelvis), spinal compression at L2. Surgery required. INJURY SEVERITY SCORE: 8/10. Permanent impairment likely. | 03/20/2024 - COVERAGE CONFIRMED: Premises liability clear. $3M limit. Gross negligence possible given complete maintenance failure. Other balconies also dangerous. | 04/01/2024 - ATTORNEY: Morgan & Morgan demanding seven figures. Young professional, permanent injuries, clear gross negligence. Strong case for punitives. | 04/15/2024 - MEDICAL COSTS: $155K current, future surgeries likely. Permanent partial disability 25-30%. Lost wages significant (software engineer $120K/year). | 05/01/2024 - SETTLEMENT: Resolved for $195K plus agreement to inspect/repair all balconies. Factors: Plaintiff needed funds for medical care, uncertain immigration status affected future wage claims. | 05/15/2024 - CLOSED: All balconies inspected and repaired. New quarterly inspection protocol. Lucky to settle within primary limits given exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0037,Copyright,POL-GL-890123,2024-02-01,Website used photographer's images without license,Advertising Injury,WA,2024-04-22,Tech Startup Solutions,28000,8500,0,0,"04/22/2024 - DMCA NOTICE: Professional photographer found 8 images used on company website without permission. All images registered copyrights. LIABILITY: Clear (100%) infringement. | 04/23/2024 - INVESTIGATION: Marketing intern downloaded images from internet search. No license verification. Company had no IP clearance process. | 04/28/2024 - COVERAGE CONFIRMED: Advertising injury includes copyright infringement. $1M limit. Defense costs within limits. No prior IP claims. | 05/05/2024 - DEMAND: $5K per image ($40K) plus legal fees. Registration enables statutory damages up to $150K per work. Exposure if litigated: $1.2M. | 05/15/2024 - QUICK RESOLUTION: Settled for $28K including retroactive license. Photographer reasonable, values ongoing business relationship over maximizing claim. | 05/25/2024 - CLOSED: Implemented image licensing verification process. Stock photo subscriptions purchased. Training on IP compliance completed.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0038,Equipment Damage,POL-GL-345678,2023-09-01,HVAC contractor damaged server room equipment,Property Damage,IL,2024-05-28,Climate Control Experts,165000,12000,0,0,"05/28/2024 - SERVER DAMAGE: Coolant leak during HVAC maintenance destroyed servers. Catastrophic data center failure. LIABILITY: Clear (100%) - Technician error caused leak. | 05/29/2024 - DAMAGE ASSESSMENT: 5 servers destroyed ($150K), data recovery needed ($30K), business interruption during restoration. High-value property damage. | 06/05/2024 - COVERAGE ANALYSIS: Property damage to others covered. No care/custody exclusion as servers not in our control. $2M limit adequate. | 06/10/2024 - BUSINESS LOSS CLAIM: Client claiming $300K in downtime losses. Our position: Property damage only, no coverage for pure economic loss. | 06/20/2024 - SETTLEMENT: Property damage paid immediately $165K. Successfully defended against BI claim using policy language. Client unhappy but accepted. | 06/30/2024 - CLOSED: Contractor implemented detailed server room work protocols. Insurance required for all data center work going forward.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0039,Parking Lot,POL-GL-678901,2024-04-01,Shopping cart struck customer's vehicle,Property Damage,MI,2024-06-30,Suburban Shopping Plaza,8500,1500,0,0,"06/30/2024 - CART DAMAGE: Wind blew unsecured carts across parking lot. Struck parked Mercedes. LIABILITY ASSESSMENT: Moderate (70%) - No cart corrals in that section, windy area known. | 07/01/2024 - INVESTIGATION: Store aware of wind patterns, chose not to install corrals to save money. Prior incidents documented but ignored. | 07/05/2024 - DAMAGE: Deep scratches and dent in door panel. Mercedes S-Class. Repair estimate $8K from certified shop. Depreciation claim possible. | 07/10/2024 - COVERAGE: Property damage under premises liability. Small claim but luxury vehicle and angry customer. Reputation risk. | 07/15/2024 - QUICK PAY: Settled immediately for full repair cost $8,500. Customer satisfied with prompt response. Avoided negative reviews. | 07/20/2024 - CLOSED: Additional cart corrals installed in windy sections. Cost $3K - should have done originally.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0040,Medical Malpractice,POL-GL-234789,2023-11-01,Spa treatment caused burns to customer,Bodily Injury,NV,2024-01-15,Luxury Spa & Wellness,52000,11000,0,0,"01/15/2024 - SPA INJURY: Chemical peel performed incorrectly. Severe facial burns resulted. LIABILITY ASSESSMENT: Very High (90%) - Aesthetician not certified, solution too concentrated. | 01/16/2024 - INVESTIGATION: Aesthetician falsified credentials. Solution mixed at 3x recommended concentration. No supervision by licensed professional as required. | 01/20/2024 - MEDICAL: Second degree facial burns on client Sarah Martinez (26yo). Scarring likely. Plastic surgery consultation scheduled. INJURY SEVERITY SCORE: 7/10. | 01/25/2024 - COVERAGE: Professional liability endorsement applies to spa services. $1M limit. Prior claim for allergic reaction last year - pattern emerging. | 02/05/2024 - DEMAND: Attorney demanding $150K. Young woman, facial scarring, upcoming wedding. Emotional distress significant. Strong liability. | 02/20/2024 - SETTLEMENT: Resolved for $52K including future scar revision surgery. Quick resolution avoided regulatory scrutiny and criminal charges. | 03/01/2024 - CLOSED: All staff certifications verified. Only licensed professionals to perform chemical treatments. State board investigation avoided. Collapse: Railing gave way",tenant fell 15 feet to ground. | 03/11/2024 - Inspection: Railing posts severely corroded. No maintenance records. | 03/15/2024 - Injuries: Multiple fractures,"spinal compression. Surgery required. | 03/20/2024 - Coverage: Premises liability clear. Gross negligence possible. | 04/01/2024 - Attorney: Morgan & Morgan demanding seven figures. | 04/15/2024 - Medical Costs: $155K and climbing. Permanent impairment likely. | 05/01/2024 - Settlement: Resolved for $195K. All balconies inspected/repaired. | 05/15/2024 - Closed: New maintenance protocols implemented.""",,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0037,Copyright,POL-GL-890123,2024-02-01,Website used photographer's images without license,Advertising Injury,WA,2024-04-22,Tech Startup Solutions,28000,8500,0,0,04/22/2024 - DMCA Notice: Professional photographer found 8 images used without permission. | 04/23/2024 - Investigation: Marketing intern downloaded from internet. No license check. | 04/28/2024 - Coverage: Advertising injury includes copyright infringement. | 05/05/2024 - Demand: $5K per image plus legal fees. Registration confirmed. | 05/15/2024 - Quick Resolution: Settled for $28K including retroactive license. | 05/25/2024 - Closed: Implemented image licensing verification process.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0038,Equipment Damage,POL-GL-345678,2023-09-01,HVAC contractor damaged server room equipment,Property Damage,IL,2024-05-28,Climate Control Experts,165000,12000,0,0,05/28/2024 - Server Damage: Coolant leak during HVAC maintenance destroyed servers. | 05/29/2024 - Damage Assessment: 5 servers destroyed. Data recovery needed. | 06/05/2024 - Coverage: Property damage to others. No care/custody exclusion. | 06/10/2024 - Business Loss: Client claiming $300K in downtime losses. | 06/20/2024 - Settlement: Property damage paid $165K. BI claim rejected - no coverage. | 06/30/2024 - Closed: Contractor implemented server room work protocols.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0039,Parking Lot,POL-GL-678901,2024-04-01,Shopping cart struck customer's vehicle,Property Damage,MI,2024-06-30,Suburban Shopping Plaza,8500,1500,0,0,"06/30/2024 - Cart Damage: Unsecured carts rolled across lot in wind. Luxury vehicle damaged. | 07/01/2024 - Investigation: No cart corrals in that section. Known windy area. | 07/05/2024 - Damage: Deep scratches, dent in door. $8K repair estimate. | 07/10/2024 - Coverage: Property damage - premises liability applies. | 07/15/2024 - Quick Pay: Settled immediately for repair cost. | 07/20/2024 - Closed: Additional cart corrals installed.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0040,Medical Malpractice,POL-GL-234789,2023-11-01,Spa treatment caused burns to customer,Bodily Injury,NV,2024-01-15,Luxury Spa & Wellness,52000,11000,0,0,01/15/2024 - Spa Injury: Chemical peel performed incorrectly. Severe facial burns. | 01/16/2024 - Investigation: Aesthetician not properly certified. Solution too concentrated. | 01/20/2024 - Medical: Second degree burns. Scarring likely. Plastic surgery consult. | 01/25/2024 - Coverage: Professional liability endorsement applies to spa services. | 02/05/2024 - Demand: Attorney demanding $150K for scarring to young woman. | 02/20/2024 - Settlement: Resolved for $52K. Includes future scar revision. | 03/01/2024 - Closed: All staff certifications verified. Protocols enhanced.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0041,Construction Defect,POL-GL-567123,2023-05-01,Roof installation leaked causing interior damage,Property Damage,OR,2024-02-25,Pacific Northwest Roofing,78000,15000,0,0,"02/25/2024 - LEAK DAMAGE: New roof failed in first major rain. Extensive interior damage throughout building. LIABILITY: Clear (100%) - Multiple installation errors identified. | 02/26/2024 - INSPECTION: Independent roofer found: improper flashing, inadequate sealing, wrong materials for climate. Basic errors no excuse for experienced contractor. | 03/01/2024 - DAMAGE ASSESSMENT: Interior repairs needed $65K (drywall, flooring, painting). Business closed 1 week for repairs. Clear consequential damages. | 03/10/2024 - COVERAGE CONFIRMED: Completed operations coverage applies. Work performed 6 months ago during policy period. $2M limit adequate. | 03/20/2024 - QUICK RESOLUTION: Insured admitted fault immediately to preserve reputation. Paid $78K promptly including business interruption component. | 04/01/2024 - CLOSED: Installer retrained on proper techniques. Quality control checklist implemented. Third-party inspections now required.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0042,Hostile Environment,POL-GL-890456,2024-01-01,Employee harassment by customer at retail location,Personal Injury,GA,2024-03-30,Southern Retail Enterprises,0,18000,75000,15000,"03/30/2024 - HARASSMENT CLAIM: Employee subjected to repeated sexual harassment by regular customer. Management failed to act. LIABILITY: High - knew of problem, failed to protect employee. | 03/31/2024 - INVESTIGATION: Customer's inappropriate behavior reported 5 times over 2 months. Management response: 'he spends a lot here, deal with it.' Clear negligence. | 04/05/2024 - COVERAGE REVIEW: Personal injury might apply but primarily employment practices liability. GL coverage questionable. Tender to EPL carrier. | 04/15/2024 - EEOC FILING: Employee filed EEOC complaint. Constructive discharge claimed - employee quit due to hostile environment. Exposure increasing. | 04/25/2024 - LITIGATION: Suit filed N.D. Ga. #1:24-cv-01234. Seeking lost wages, emotional distress, punitive damages. Venue generally conservative but facts bad. | 05/10/2024 - DEFENSE STRATEGY: Arguing customer's actions not employer's responsibility. Weak position given failure to ban customer. | ONGOING: Settlement discussions stalled. Reserve at $75K. EPL carrier involvement complicating resolution. Discovery proceeding.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0043,Tree Damage,POL-GL-123654,2023-08-01,Tree trimming caused property damage to neighbor,Property Damage,CT,2024-04-18,Elite Tree Services LLC,32000,5500,0,0,"04/18/2024 - TREE INCIDENT: Large oak branch fell wrong direction during trimming, crushing neighbor's gazebo. LIABILITY: Clear (100%) - Improper cutting technique used. | 04/19/2024 - DAMAGE ASSESSMENT: Custom-built gazebo destroyed, deck damaged. Gazebo was 2 years old, $28K original cost. Deck repairs $4K. | 04/25/2024 - COVERAGE CONFIRMED: Property damage from operations covered. No exclusions apply. Prior tree damage claim last year - concerning pattern. | 05/05/2024 - REPAIR ESTIMATE: $30K for equivalent gazebo replacement. Custom work requires 8-week lead time. Neighbor reasonable but expects full replacement. | 05/15/2024 - SETTLEMENT: Paid $32K including landscaping repairs around gazebo. Quick payment maintained good neighbor relations. | 05/25/2024 - CLOSED: Updated safety protocols for residential tree work. All crews retrained on directional falling techniques.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0044,Defamation,POL-GL-456987,2024-02-01,Business posted false review of competitor,Personal Injury,WA,2024-05-10,Digital Marketing Pros,0,25000,95000,20000,"05/10/2024 - DEFAMATION CLAIM: Fake negative reviews posted about competitor's business. 8 reviews traced to our insured's IP addresses. LIABILITY: Very High - employee admitted posting. | 05/11/2024 - INVESTIGATION: Employee posted reviews claiming competitor's restaurant had health violations, rats, etc. All false. Competitor lost significant business. | 05/15/2024 - COVERAGE ANALYSIS: Personal injury includes libel/slander. $1M limit. Intentional acts by employee - coverage available as employer didn't direct. | 05/25/2024 - DEMAND: $250K for lost business and reputation damage. Can document 40% revenue drop after reviews. Actual damages substantial. | 06/05/2024 - LITIGATION: Filed King County #24-2-12345-1 SEA. Seeking actual and punitive damages. Employee's admission makes defense difficult. | 06/20/2024 - DEFENSE CHALLENGES: Arguing opinion vs. fact unsuccessful - claims of rats/violations are factual assertions. Damage mitigation focus. | ONGOING: Mediation scheduled August 2024. Reserve at $95K. Employee terminated. May seek reimbursement from individual.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0045,Animal Bite,POL-GL-789321,2023-12-01,Dog daycare failed to separate aggressive dogs,Bodily Injury,CO,2024-06-08,Happy Paws Pet Resort,18500,4500,0,0,"06/08/2024 - DOG ATTACK: Small dog severely injured by larger dog at daycare. No staff supervision when occurred. LIABILITY ASSESSMENT: High (85%) - Failed to follow own protocols. | 06/09/2024 - VET BILLS: Emergency surgery required for small dog. Intestinal perforation, multiple bite wounds. $15K initial treatment. Dog survived but traumatized. | 06/12/2024 - COVERAGE CONFIRMED: Commercial GL covers animal care facilities. No animal exclusion. $1M limit. Prior dog bite claim concerning. | 06/18/2024 - EMOTIONAL DISTRESS: Owners (elderly couple) traumatized. Dog is therapy animal for husband's PTSD. Emotional component significant. | 06/25/2024 - SETTLEMENT: $18,500 covering all vet bills plus emotional distress component. Owners reasonable despite trauma. | 07/01/2024 - CLOSED: New dog assessment protocol implemented. Aggressive dogs now in separate area. Staff ratios increased.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0046,Pollution,POL-GL-234876,2023-06-01,Auto shop oil disposal contaminated storm drain,Property Damage,MD,2024-01-28,Chesapeake Auto Services,125000,35000,175000,40000,"01/28/2024 - ENVIRONMENTAL INCIDENT: Waste oil entered storm system during disposal. Reached Chesapeake Bay tributary. LIABILITY: High - Improper disposal methods used. | 01/29/2024 - EPA RESPONSE: Emergency cleanup ordered. Containment booms deployed. Wildlife affected - 3 birds, numerous fish. Media attention beginning. | 02/01/2024 - COVERAGE ANALYSIS: Pollution exclusion applies BUT sudden & accidental exception may apply. Arguing employee error caused sudden release. | 02/10/2024 - CLEANUP COSTS: Initial containment $125K. Full remediation estimated $300K+. Long-term monitoring required by state. | 02/20/2024 - REGULATORY: Maryland Dept of Environment fines expected $50-100K. Criminal investigation for Clean Water Act violations possible. | 03/01/2024 - NATURAL RESOURCE DAMAGES: State claiming fish kill impacts, ecosystem damage. Difficult to quantify but potentially substantial. | 03/15/2024 - PARTIAL PAYMENT: Funded emergency cleanup to show good faith. Coverage disputed but environmental damage continuing. | ONGOING: Long-term remediation reserved at $175K. Criminal case outcome pending. Coverage litigation likely.",,,,,,,,,,,,,,,,,,,,,,,,,,
